code_insee,prefixe,section,numero,geojson,min_lon,min_lat,max_lon,max_lat,surface_m2
31555,806,AD,518,"{""type"":""Polygon"",""coordinates"":[[[1.4560156,43.6088723],[1.4562534,43.6089196],[1.456245,43.6089412],[1.4562276,43.6089803],[1.4561617,43.608967],[1.4561193,43.6089579],[1.4559873,43.6089311],[1.4560156,43.6088723]]]}",1.4559873,43.6088723,1.4562534,43.6089803,138
31555,806,AD,517,"{""type"":""Polygon"",""coordinates"":[[[1.4563259,43.6088923],[1.4563284,43.6089423],[1.4563319,43.60902],[1.4562337,43.6090249],[1.4562276,43.6089803],[1.456245,43.6089412],[1.4562534,43.6089196],[1.4562717,43.608884],[1.4563259,43.6088923]]]}",1.4562276,43.608884,1.4563319,43.6090249,100
31555,806,AD,519,"{""type"":""Polygon"",""coordinates"":[[[1.4559873,43.6089311],[1.4561193,43.6089579],[1.4561617,43.608967],[1.4562276,43.6089803],[1.4562337,43.6090249],[1.45614,43.6090296],[1.4561249,43.6090303],[1.4559458,43.6090392],[1.4559374,43.6090344],[1.4559873,43.6089311]]]}",1.4559374,43.6089311,1.4562337,43.6090392,179
31555,806,AD,507,"{""type"":""Polygon"",""coordinates"":[[[1.4563326,43.6082406],[1.4563878,43.6081593],[1.4564425,43.6082383],[1.4564574,43.60826],[1.456499,43.6083199],[1.4563998,43.6083337],[1.456361,43.6082802],[1.4563326,43.6082406]]]}",1.4563326,43.6081593,1.456499,43.6083337,137
31555,806,AD,509,"{""type"":""Polygon"",""coordinates"":[[[1.4563326,43.6082406],[1.456361,43.6082802],[1.4563998,43.6083337],[1.4564095,43.6083473],[1.4564212,43.6083633],[1.4564323,43.608379],[1.4564108,43.6083845],[1.4563965,43.6083883],[1.4563714,43.6083949],[1.4563657,43.6083963],[1.4563471,43.6084012],[1.4562556,43.6084252],[1.4562289,43.6084323],[1.4562859,43.6083092],[1.4563326,43.6082406]]]}",1.4562289,43.6082406,1.4564323,43.6084323,151
31555,806,AD,510,"{""type"":""Polygon"",""coordinates"":[[[1.4562289,43.6084323],[1.4562556,43.6084252],[1.4563471,43.6084012],[1.4563657,43.6083963],[1.4563714,43.6083949],[1.4563965,43.6083883],[1.4564108,43.6083845],[1.4564045,43.6084284],[1.4563899,43.6085349],[1.4561966,43.6085208],[1.4561904,43.6085156],[1.4562289,43.6084323]]]}",1.4561904,43.6083845,1.4564108,43.6085349,191
31555,806,AD,506,"{""type"":""Polygon"",""coordinates"":[[[1.456499,43.6083199],[1.4564574,43.60826],[1.4564425,43.6082383],[1.4563878,43.6081593],[1.4565557,43.6081008],[1.4566764,43.6082585],[1.4565004,43.6083221],[1.456499,43.6083199]]]}",1.4563878,43.6081008,1.4566764,43.6083221,309
31555,806,AD,499,"{""type"":""Polygon"",""coordinates"":[[[1.4565004,43.6083221],[1.4566764,43.6082585],[1.4567555,43.6082334],[1.4567825,43.6082809],[1.45691,43.608242],[1.4569098,43.6085558],[1.4568869,43.6085712],[1.4565469,43.6085464],[1.456534,43.6084353],[1.4565257,43.6083585],[1.4565004,43.6083221]]]}",1.4565004,43.6082334,1.45691,43.6085712,949
31555,806,AD,9,"{""type"":""Polygon"",""coordinates"":[[[1.4564594,43.6096684],[1.4564095,43.6097344],[1.4562344,43.6099665],[1.4561902,43.6099372],[1.4561346,43.6099008],[1.4561466,43.6098849],[1.456198,43.6098169],[1.4562021,43.6098116],[1.4562521,43.6097455],[1.4562545,43.6097422],[1.456262,43.6097323],[1.4562833,43.6097044],[1.4563481,43.6096185],[1.4564594,43.6096684]]]}",1.4561346,43.6096185,1.4564594,43.6099665,384
31555,806,AD,757,"{""type"":""Polygon"",""coordinates"":[[[1.455959,43.6096481],[1.455975,43.6096551],[1.4558862,43.6097371],[1.4557804,43.6096673],[1.4556915,43.6096086],[1.4557279,43.6095116],[1.455828,43.6095711],[1.4558646,43.6095924],[1.45589,43.6096074],[1.455959,43.6096481]]]}",1.4556915,43.6095116,1.455975,43.6097371,233
31555,806,AD,689,"{""type"":""Polygon"",""coordinates"":[[[1.4573015,43.6086717],[1.4572864,43.6087849],[1.4572835,43.6088084],[1.4572097,43.60881],[1.4571634,43.6088111],[1.4571634,43.6087854],[1.4571443,43.6087852],[1.4571443,43.6087635],[1.4571441,43.6087081],[1.4571158,43.6087062],[1.4571155,43.6086579],[1.4573015,43.6086717]]]}",1.4571155,43.6086579,1.4573015,43.6088111,195
31555,806,AD,690,"{""type"":""Polygon"",""coordinates"":[[[1.4571443,43.6087852],[1.4571634,43.6087854],[1.4571634,43.6088111],[1.4571442,43.6088115],[1.4571443,43.6087852]]]}",1.4571442,43.6087852,1.4571634,43.6088115,5
31555,806,AD,332,"{""type"":""Polygon"",""coordinates"":[[[1.4600031,43.6099186],[1.4600094,43.6099372],[1.4600376,43.6100206],[1.4601133,43.6102448],[1.4600548,43.6102872],[1.4593553,43.6104896],[1.4592546,43.6101786],[1.4600031,43.6099186]]]}",1.4592546,43.6099186,1.4601133,43.6104896,2445
31555,806,AD,354,"{""type"":""Polygon"",""coordinates"":[[[1.4599721,43.6093959],[1.4600953,43.6093986],[1.4601475,43.6093997],[1.460375,43.6097248],[1.4601919,43.6097898],[1.4601308,43.6097049],[1.4600975,43.6096583],[1.4600587,43.6096086],[1.4599499,43.6096466],[1.4599721,43.6093959]]]}",1.4599499,43.6093959,1.460375,43.6097898,805
31555,806,AD,353,"{""type"":""Polygon"",""coordinates"":[[[1.4599499,43.6096466],[1.4600587,43.6096086],[1.4600975,43.6096583],[1.4601308,43.6097049],[1.4601919,43.6097898],[1.4599802,43.6098664],[1.4599668,43.609847],[1.459937,43.6097896],[1.4599499,43.6096466]]]}",1.459937,43.6096086,1.4601919,43.6098664,358
31555,806,AD,363,"{""type"":""Polygon"",""coordinates"":[[[1.4599721,43.6093959],[1.4599499,43.6096466],[1.459937,43.6097896],[1.4599668,43.609847],[1.459744,43.6099248],[1.4592891,43.6098421],[1.4596251,43.6088636],[1.4597171,43.6088416],[1.4600081,43.6089909],[1.4599721,43.6093959]]]}",1.4592891,43.6088416,1.4600081,43.6099248,4613
31555,806,AD,391,"{""type"":""Polygon"",""coordinates"":[[[1.4585935,43.6093282],[1.4585806,43.6093686],[1.4585765,43.6093819],[1.4585632,43.6094241],[1.4585085,43.6094151],[1.4583594,43.6093906],[1.4583871,43.6093032],[1.4585935,43.6093282]]]}",1.4583594,43.6093032,1.4585935,43.6094241,174
31555,806,AD,392,"{""type"":""Polygon"",""coordinates"":[[[1.4583594,43.6093906],[1.4585085,43.6094151],[1.4585632,43.6094241],[1.4585936,43.6094292],[1.4585845,43.6094609],[1.4585762,43.6094903],[1.4585578,43.6094882],[1.4585136,43.6094835],[1.4584914,43.609481],[1.4584863,43.6094804],[1.4584784,43.6094796],[1.4583362,43.6094642],[1.4583594,43.6093906]]]}",1.4583362,43.6093906,1.4585936,43.6094903,149
31555,806,AD,393,"{""type"":""Polygon"",""coordinates"":[[[1.4585935,43.6093282],[1.4587015,43.6093413],[1.4586721,43.6094402],[1.4586632,43.6094698],[1.4586545,43.6094988],[1.4585762,43.6094903],[1.4585845,43.6094609],[1.4585936,43.6094292],[1.4585632,43.6094241],[1.4585765,43.6093819],[1.4585806,43.6093686],[1.4585935,43.6093282]]]}",1.4585632,43.6093282,1.4587015,43.6094988,144
31555,806,AD,588,"{""type"":""Polygon"",""coordinates"":[[[1.4587397,43.6094479],[1.4587325,43.6094469],[1.4587585,43.6093481],[1.4587777,43.6093506],[1.4587505,43.6094496],[1.4587397,43.6094479]]]}",1.4587325,43.6093481,1.4587777,43.6094496,13
31555,806,AD,399,"{""type"":""Polygon"",""coordinates"":[[[1.4591112,43.6095432],[1.4590987,43.6095428],[1.4591293,43.6094518],[1.4591344,43.6094365],[1.459148,43.6093952],[1.4592352,43.6094059],[1.4592194,43.6094509],[1.4592131,43.6094683],[1.4591932,43.6095249],[1.4591928,43.609526],[1.4591897,43.6095351],[1.4591861,43.6095453],[1.4591338,43.6095439],[1.4591308,43.6095438],[1.4591112,43.6095432]]]}",1.4590987,43.6093952,1.4592352,43.6095453,115
31555,806,AD,605,"{""type"":""Polygon"",""coordinates"":[[[1.4591112,43.6095432],[1.4591308,43.6095438],[1.4591338,43.6095439],[1.4591861,43.6095453],[1.4592022,43.6095458],[1.4592173,43.6095463],[1.4592189,43.6095776],[1.4592812,43.6095795],[1.4592181,43.6097614],[1.4591995,43.6097613],[1.459102,43.6097604],[1.4591068,43.609677],[1.4591082,43.6096508],[1.45911,43.6095838],[1.4591107,43.6095595],[1.4591112,43.6095432]]]}",1.459102,43.6095432,1.4592812,43.6097614,259
31555,806,AD,398,"{""type"":""Polygon"",""coordinates"":[[[1.4591112,43.6095432],[1.4591107,43.6095595],[1.45911,43.6095838],[1.458972,43.6095824],[1.458982,43.6095479],[1.4589876,43.6095237],[1.4590195,43.609416],[1.4590299,43.6093811],[1.459148,43.6093952],[1.4591344,43.6094365],[1.4591293,43.6094518],[1.4590987,43.6095428],[1.4591112,43.6095432]]]}",1.458972,43.6093811,1.459148,43.6095838,207
31555,806,AD,396,"{""type"":""Polygon"",""coordinates"":[[[1.4588725,43.6095816],[1.4588807,43.6095497],[1.4588871,43.6095246],[1.4588916,43.609507],[1.4589009,43.6094697],[1.4589217,43.6093873],[1.458925,43.6093743],[1.4589265,43.6093685],[1.458979,43.6093749],[1.4589632,43.6094342],[1.4589384,43.6095269],[1.4589319,43.6095505],[1.4589247,43.609582],[1.4588725,43.6095816]]]}",1.4588725,43.6093685,1.458979,43.609582,94
31555,806,AD,397,"{""type"":""Polygon"",""coordinates"":[[[1.458972,43.6095824],[1.4589486,43.6095821],[1.4589247,43.609582],[1.4589319,43.6095505],[1.4589384,43.6095269],[1.4589632,43.6094342],[1.458979,43.6093749],[1.4590299,43.6093811],[1.4590195,43.609416],[1.4589876,43.6095237],[1.458982,43.6095479],[1.458972,43.6095824]]]}",1.4589247,43.6093749,1.4590299,43.6095824,90
31555,806,AD,589,"{""type"":""Polygon"",""coordinates"":[[[1.4586545,43.6094988],[1.4586632,43.6094698],[1.4586721,43.6094402],[1.4587015,43.6093413],[1.4587585,43.6093481],[1.4587325,43.6094469],[1.4587397,43.6094479],[1.4587158,43.6095425],[1.4586917,43.6095428],[1.4586994,43.6095036],[1.4586845,43.609502],[1.4586545,43.6094988]]]}",1.4586545,43.6093413,1.4587585,43.6095428,104
31555,806,AD,587,"{""type"":""Polygon"",""coordinates"":[[[1.4587397,43.6094479],[1.4587505,43.6094496],[1.4587777,43.6093506],[1.458832,43.6093571],[1.4588102,43.6094367],[1.4588049,43.6094554],[1.4587813,43.6095416],[1.4587507,43.6095421],[1.4587196,43.6095423],[1.4587158,43.6095425],[1.4587397,43.6094479]]]}",1.4587158,43.6093506,1.458832,43.6095425,101
31555,806,AD,395,"{""type"":""Polygon"",""coordinates"":[[[1.4588725,43.6095816],[1.4588221,43.6095811],[1.4587863,43.6095804],[1.4587205,43.6095801],[1.4587201,43.6095651],[1.4587196,43.6095423],[1.4587507,43.6095421],[1.4587813,43.6095416],[1.4588049,43.6094554],[1.4588102,43.6094367],[1.458832,43.6093571],[1.4588699,43.6093618],[1.4589265,43.6093685],[1.458925,43.6093743],[1.4589217,43.6093873],[1.4589009,43.6094697],[1.4588916,43.609507],[1.4588871,43.6095246],[1.4588807,43.6095497],[1.4588725,43.6095816]]]}",1.4587196,43.6093571,1.4589265,43.6095816,206
